skill,wiki_page
E-commerce infrastructure,Center_for_E-Commerce_Infrastructure_Development
Software infrastructure,Software-defined_infrastructure
Interpreters,Interpreter_(computing)
Middleware,Middleware_(distributed_applications)
Message oriented middleware,Message-oriented_middleware
Reflective middleware,Distributed_operating_system
Embedded middleware,Middleware_(distributed_applications)
Virtual machines,Virtual_machine
Operating systems,Operating_system
File systems management,File_system
Memory management,Memory_management
Virtual memory,Virtual_memory
Main memory,Computer_data_storage
Allocation / deallocation strategies,Memory_management
Garbage collection,Garbage_collection_(computer_science)
Distributed memory,Distributed_memory
Secondary storage,Auxiliary_memory
Process management,Process_management
Scheduling,Scheduling_(production_processes)
Deadlocks,Deadlock
Multithreading,Multithreading_(computer_architecture)
Multiprocessing / multiprogramming / multitasking,Computer_multitasking
Monitors,Computer_monitor
Mutual exclusion,Mutual_exclusion
Concurrency control,Concurrency_control
Power management,Power_management
Process synchronization,Synchronization_(computer_science)
Communications management,Communications_management
Buffering,Buffering_agent
Input / output,Input/output
Message passing,Message_passing
Virtual worlds software,Virtual_world
Interactive games,List_of_Paradox_Interactive_games
Virtual worlds training simulations,Corporate_use_of_Second_Life
Software system structures,Software_architecture
Embedded software,Embedded_software
Software architectures,Software_architecture
n-tier architectures,Multitier_architecture
Peer-to-peer architectures,Peer-to-peer
Data flow architectures,Dataflow_architecture
Cooperating communicating processes,Communicating_sequential_processes
Layered systems,Layered_system
Publish-subscribe / event-based architectures,Publish–subscribe_pattern
Electronic blackboards,Interactive_whiteboard
Simulator / interpreter,Emulator
Object oriented architectures,Object-oriented_analysis_and_design
Tightly coupled architectures,Loose_coupling
Space-based architectures,Space-based_architecture
3-tier architectures,Multitier_architecture
Software system models,Systems_modeling
Petri nets,Petri_net
State systems,State_variable
Entity relationship modeling,Entity–relationship_model
Model-driven software engineering,Model-driven_engineering
Feature interaction,Feature_interaction_problem
Massively parallel systems,Massively_parallel_(computing)
Ultra-large-scale systems,Ultra-large-scale_systems
Distributed systems,Distributed_computing
Distributed systems organizing principles,Distributed_operating_system
Cloud computing,Cloud_computing_architecture
Client-server architectures,Client–server_model
Grid computing,Grid_computing
Organizing principles for web applications,Web_application_development
Real-time systems software,Real-time_computing
Abstraction modeling and modularity,Software_design
Software functional properties,Non-functional_requirement
Correctness,Correctness
Synchronization,Synchronization
Functionality,Functional_requirement
Real-time schedulability,Scheduling_analysis_real-time_systems
Consistency,Consistency
Completeness,Completeness
Access protection,Network_Access_Protection
Formal methods,Formal_methods
Model checking,Model_checking
Software verification,Software_verification
Automated static analysis,Static_program_analysis
Dynamic analysis,Dynamic_program_analysis
Extra-functional properties,Non-functional_requirement
Interoperability,Interoperability
Software performance,Software_performance_testing
Software reliability,Software_reliability_testing
Software fault tolerance,Software_fault_tolerance
Checkpoint / restart,Application_checkpointing
Software safety,Software_system_safety
Software usability,Usability
Software notations and tools,Comparison_of_Business_Process_Modeling_Notation_tools
General programming languages,General-purpose_programming_language
Language types,List_of_programming_languages_by_type
Parallel programming languages,List_of_concurrent_and_parallel_programming_languages
Distributed programming languages,List_of_concurrent_and_parallel_programming_languages
Imperative languages,Imperative_programming
Object oriented languages,Object-oriented_programming
Functional languages,Functional_programming
Concurrent programming languages,List_of_concurrent_and_parallel_programming_languages
Constraint and logic languages,Constraint_logic_programming
Data flow languages,Dataflow_programming
Extensible languages,Extensible_programming
Assembly languages,Assembly_language
Multiparadigm languages,Programming_paradigm
Very high level languages,Very_high-level_programming_language
Language features,Language
Abstract data types,Abstract_data_type
Polymorphism,Polymorphism_(computer_science)
Inheritance,Inheritance_(object-oriented_programming)
Control structures,Control_flow
Data types and structures,List_of_data_structures
Classes and objects,Class_(computer_programming)
Modules / packages,Environment_Modules_(software)
Constraints,Constraint_(mathematics)
Recursion,Recursion
Concurrent programming structures,Concurrent_data_structure
Procedures functions and subroutines,Subroutine
Patterns,Pattern
Coroutines,Coroutine
Frameworks,Software_framework
Formal language definitions,Formal_language
Syntax,Syntax
Semantics,Semantics
Compilers,Compiler
Interpreters,Interpreter_(computing)
Incremental compilers,Incremental_compiler
Retargetable compilers,Retargeting
Just-in-time compilers,Just-in-time_compilation
Dynamic compilers,Dynamic_compilation
Translator writing systems and compiler generators,XPL
Source code generation,Code_generation_(compiler)
Runtime environments,Runtime_system
Preprocessors,Preprocessor
