word, skills
worked, [(Reference works;0.5788929156412692); (Technical work;0.5474152318064772); (Working creatively;0.7027243859710397); (Computer supported cooperative work;0.5474152318064772)]
working, [(Reference works;0.5257887212552613); (Technical work;0.6820692941401538); (Working creatively;1); (Cooperating communicating processes;0.43221588455281246); (Computer supported cooperative work;0.6820692941401538)]
uses, [(Reference works;0.45688698883699735)]
performs, [(Reference works;0.45596145184280723); (Performing arts;0.6272991562872341)]
manages, [(Reference works;0.43326122125414746); (Managing Finances;0.42393477807185653); (Managing organizations;0.42393477807185653); (Managing people;0.42393477807185653)]
handles, [(Reference works;0.43165020268657484); (Handling Complaints;0.539642509495565); (Handling money;0.539642509495565); (Error handling and recovery;0.539642509495565)]
goes, [(Reference works;0.4149363947364053)]
teaches, [(Reference works;0.4097624023721355)]
reference works, [(Reference works;1)]
conference, [(General conference proceedings;0.9999999999999998); (Conducting Meetings;0.464833083107801); (Running meetings;0.464833083107801); (Planning meetings;0.464833083107801); (Presentation protocols;0.4490207038640796); (Presentation of retrieval results;0.4490207038640796)]
conferences, [(General conference proceedings;0.6199725947377054); (Conducting Meetings;0.6118580382178681); (Running meetings;0.6118580382178681); (Planning meetings;0.6118580382178681)]
briefing, [(General conference proceedings;0.6084257319508607); (Presentation protocols;0.5037295095881645); (Presentation of retrieval results;0.5037295095881645)]
meeting, [(General conference proceedings;0.580332883642559); (Consultation;0.39705747173014144); (Gathering information;0.4786909799271677); (Conducting Meetings;0.7572831144384348); (Running meetings;0.7572831144384348); (Planning meetings;0.7572831144384348); (Presentation protocols;0.4767182819734644); (Presentation of retrieval results;0.4767182819734644)]
press, [(General conference proceedings;0.51276187670346); (Social media networks;0.6013198739174587); (Web and social media search;0.6013198739174587); (Social media;0.6013198739174587); (Portable media players;0.6013198739174587); (Media arts;0.6013198739174587); (Multi / mixed media creation;0.6013198739174587)]
seminar, [(General conference proceedings;0.4975139866703535); (Presentation protocols;0.5154529458977678); (Presentation of retrieval results;0.5154529458977678)]
meetings, [(General conference proceedings;0.464833083107801); (Consultation;0.4118406511096676); (Conducting Meetings;0.9999999999999998); (Conducting interviews;0.4048541885772259); (Running meetings;0.9999999999999998); (Planning meetings;0.9999999999999998)]
forum, [(General conference proceedings;0.45532078038518603); (Document topic models;0.45450302177930957); (Topic modeling;0.45450302177930957)]
reporters, [(General conference proceedings;0.4534820681591306)]
presentation, [(General conference proceedings;0.4490207038640796); (Presentation protocols;0.9999999999999998); (Presentation of retrieval results;0.9999999999999998); (Speech / audio search;0.4342063823765493); (Speech recognition;0.4342063823765493)]
proceedings, [(General conference proceedings;0.9999999999999998)]
proceeding, [(General conference proceedings;0.6418293629241445); (Process variations;0.41446468273517256); (Process voltage and temperature variations;0.41446468273517256); (Process management;0.41446468273517256); (Process synchronization;0.41446468273517256); (Software development process management;0.41446468273517256); (Process validation;0.41446468273517256); (Process calculi;0.41446468273517256); (Middleware business process managers;0.41446468273517256); (Process control systems;0.41446468273517256); (Interaction design process and methods;0.41446468273517256); (Business process management;0.41446468273517256); (Business process modeling;0.41446468273517256); (Business process management systems;0.41446468273517256); (Business process monitoring;0.41446468273517256); (Business Process Execution Language;0.41446468273517256)]
hearings, [(General conference proceedings;0.5117144749596462); (Conducting Meetings;0.5582542500618681); (Running meetings;0.5582542500618681); (Planning meetings;0.5582542500618681)]
hearing, [(General conference proceedings;0.4950307950066336)]
trial, [(General conference proceedings;0.4739009737661992)]
litigation, [(General conference proceedings;0.46788009055116186)]
court, [(General conference proceedings;0.4519863505423438)]
prosecution, [(General conference proceedings;0.44917827435129487)]
motions, [(General conference proceedings;0.44096070574196); (Motion path planning;0.7197447603587906); (Motion capture;0.7197447603587906); (Motion processing;0.7197447603587906)]
tribunal, [(General conference proceedings;0.4321113457868467)]
general conference proceedings, [(General conference proceedings;1)]
biographies, [(Biographies;1)]
literature, [(General literature;1)]
poetry, [(General literature;0.5864317321042749)]
literary, [(General literature;0.5674945440427202)]
books, [(General literature;0.5446849792892638); (Standard cell libraries;0.4776827473388258); (Software libraries and repositories;0.4776827473388258); (Tape libraries;0.4776827473388258); (Point-in-time copies;0.5020570057913888); (Digital libraries and archives;0.4776827473388258)]
writings, [(General literature;0.5330447765514702)]
manuscripts, [(General literature;0.5211327225575275); (Garbage collection;0.4258132398692344); (Digital libraries and archives;0.4552598799819138); (Document collection models;0.4258132398692344); (Test collections;0.44289491543991794); (Evidence collection storage and analysis;0.4258132398692344)]
journals, [(General literature;0.5085225274299617)]
pamphlets, [(General literature;0.5083932761981059)]
novels, [(General literature;0.5017349785629768)]
textbooks, [(General literature;0.5007369792272957)]
general literature, [(General literature;1)]
